HGNC_symbol;HGNC_id
DLG5;HGNC:2904
DLL1;HGNC:2908
DLL3;HGNC:2909
DLL4;HGNC:2910
DLX5;HGNC:2918
DMD;HGNC:2928
DMP1;HGNC:2932
DMPK;HGNC:2933
DNA2;HGNC:2939
DNAAF3;HGNC:30492
DNAAF4;HGNC:21493
DNAAF5;HGNC:26013
DNAAF6;HGNC:28570
DNAH5;HGNC:2950
DNAH9;HGNC:2953
DNAJB13;HGNC:30718
DNAJC12;HGNC:28908
DNM1;HGNC:2972
DNM1L;HGNC:2973
DNMT3A;HGNC:2978
DNMT3B;HGNC:2979
DOCK6;HGNC:19189
DOCK7;HGNC:19190
DOCK8;HGNC:19191
DOLK;HGNC:23406
DPAGT1;HGNC:2995
DPF2;HGNC:9964
DPM1;HGNC:3005
DPM3;HGNC:3007
DPYSL5;HGNC:20637
DRC1;HGNC:24245
DSE;HGNC:21144
DSG1;HGNC:3048
DSP;HGNC:3052
DSPP;HGNC:3054
DSTYK;HGNC:29043
DVL1;HGNC:3084
DVL3;HGNC:3087
DYM;HGNC:21317
DYNC1H1;HGNC:2961
DYNC1I2;HGNC:2964
DYNC2H1;HGNC:2962
DYRK1A;HGNC:3091
EBF3;HGNC:19087
EBP;HGNC:3133
ECEL1;HGNC:3147
ECHS1;HGNC:3151
ECM1;HGNC:3153
EDA;HGNC:3157
EDAR;HGNC:2895
EDN1;HGNC:3176
EDNRA;HGNC:3179
EDNRB;HGNC:3180
EED;HGNC:3188
EEF1A2;HGNC:3192
EEF1B2;HGNC:3208
EEF2;HGNC:3214
EFEMP2;HGNC:3219
EFNB1;HGNC:3226
EFTUD2;HGNC:30858
EGR2;HGNC:3239
EHMT1;HGNC:24650
EIF2AK1;HGNC:24921
EIF2AK2;HGNC:9437
EIF2AK3;HGNC:3255
EIF2B4;HGNC:3260
EIF2B5;HGNC:3261
EIF2S3;HGNC:3267
EIF3F;HGNC:3275
EIF4A3;HGNC:18683
ELAC2;HGNC:14198
ELMO2;HGNC:17233
ELN;HGNC:3327
ELOVL4;HGNC:14415
ELP2;HGNC:18248
EMC1;HGNC:28957
EMG1;HGNC:16912
EMX2;HGNC:3341
ENPP1;HGNC:3356
ENTPD1;HGNC:3363
EOGT;HGNC:28526
EOMES;HGNC:3372
EP300;HGNC:3373
EPB41L1;HGNC:3378
EPCAM;HGNC:11529
EPG5;HGNC:29331
EPHB4;HGNC:3395
EPRS1;HGNC:3418
ERBB3;HGNC:3431
ERCC1;HGNC:3433
ERCC2;HGNC:3434
ERCC3;HGNC:3435
ERCC4;HGNC:3436
ERCC5;HGNC:3437
ERCC6;HGNC:3438
ERCC6L2;HGNC:26922
ERCC8;HGNC:3439
ERF;HGNC:3444
ERLIN2;HGNC:1356
ERMARD;HGNC:21056
ESCO2;HGNC:27230
ETFA;HGNC:3481
ETFB;HGNC:3482
ETFDH;HGNC:3483
ETHE1;HGNC:23287
EVC;HGNC:3497
EVC2;HGNC:19747
EXOSC3;HGNC:17944
EXOSC9;HGNC:9137
EXPH5;HGNC:30578
EXT1;HGNC:3512
EXT2;HGNC:3513
EXTL3;HGNC:3518
